Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,core,2,1,0.13
linear,core,2,2,0.14
linear,core,2,4,0.14
linear,core,2,8,0.14
linear,core,2,16,0.13
linear,core,2,32,0.14
linear,core,2,64,0.14
linear,core,2,128,0.20
linear,core,2,256,0.21
linear,core,2,512,0.24
linear,core,2,1024,0.27
linear,core,2,2048,0.31
linear,core,3,1,0.26
linear,core,3,2,0.25
linear,core,3,4,0.26
linear,core,3,8,0.25
linear,core,3,16,0.25
linear,core,3,32,0.25
linear,core,3,64,0.25
linear,core,3,128,0.34
linear,core,3,256,0.35
linear,core,3,512,0.38
linear,core,3,1024,0.42
linear,core,3,2048,0.50
linear,core,4,1,0.13
linear,core,4,2,0.13
linear,core,4,4,0.14
linear,core,4,8,0.13
linear,core,4,16,0.13
linear,core,4,32,0.13
linear,core,4,64,0.13
linear,core,4,128,0.25
linear,core,4,256,0.28
linear,core,4,512,0.33
linear,core,4,1024,0.38
linear,core,4,2048,0.48
linear,core,5,1,0.24
linear,core,5,2,0.23
linear,core,5,4,0.24
linear,core,5,8,0.23
linear,core,5,16,0.25
linear,core,5,32,0.26
linear,core,5,64,0.25
linear,core,5,128,0.47
linear,core,5,256,0.47
linear,core,5,512,0.59
linear,core,5,1024,0.64
linear,core,5,2048,0.82
linear,core,6,1,0.27
linear,core,6,2,0.28
linear,core,6,4,0.28
linear,core,6,8,0.29
linear,core,6,16,0.29
linear,core,6,32,0.30
linear,core,6,64,0.30
linear,core,6,128,0.59
linear,core,6,256,0.69
linear,core,6,512,0.77
linear,core,6,1024,0.87
linear,core,6,2048,1.15
linear,core,7,1,0.38
linear,core,7,2,0.37
linear,core,7,4,0.39
linear,core,7,8,0.41
linear,core,7,16,0.42
linear,core,7,32,0.46
linear,core,7,64,0.46
linear,core,7,128,0.77
linear,core,7,256,0.80
linear,core,7,512,1.06
linear,core,7,1024,1.13
linear,core,7,2048,1.50
linear,core,8,1,0.86
linear,core,8,2,0.85
linear,core,8,4,0.92
linear,core,8,8,0.94
linear,core,8,16,0.94
linear,core,8,32,1.04
linear,core,8,64,1.03
linear,core,8,128,1.63
linear,core,8,256,1.67
linear,core,8,512,1.68
linear,core,8,1024,1.86
linear,core,8,2048,2.47
linear,core,9,1,1.01
linear,core,9,2,1.05
linear,core,9,4,1.10
linear,core,9,8,1.08
linear,core,9,16,1.11
linear,core,9,32,1.18
linear,core,9,64,1.16
linear,core,9,128,1.85
linear,core,9,256,1.87
linear,core,9,512,1.94
linear,core,9,1024,2.19
linear,core,9,2048,2.83
linear,core,10,1,1.00
linear,core,10,2,1.07
linear,core,10,4,1.09
linear,core,10,8,1.10
linear,core,10,16,1.08
linear,core,10,32,1.15
linear,core,10,64,1.12
linear,core,10,128,2.05
linear,core,10,256,2.07
linear,core,10,512,2.17
linear,core,10,1024,2.34
linear,core,10,2048,3.51
linear,core,11,1,1.15
linear,core,11,2,1.15
linear,core,11,4,1.16
linear,core,11,8,1.15
linear,core,11,16,1.14
linear,core,11,32,1.24
linear,core,11,64,1.21
linear,core,11,128,2.28
linear,core,11,256,2.35
linear,core,11,512,2.74
linear,core,11,1024,2.96
linear,core,11,2048,3.79
linear,core,12,1,1.20
linear,core,12,2,1.21
linear,core,12,4,1.22
linear,core,12,8,1.21
linear,core,12,16,1.21
linear,core,12,32,1.32
linear,core,12,64,1.31
linear,core,12,128,2.46
linear,core,12,256,2.68
linear,core,12,512,2.59
linear,core,12,1024,2.90
linear,core,12,2048,4.20
linear,core,13,1,1.33
linear,core,13,2,1.37
linear,core,13,4,1.37
linear,core,13,8,1.37
linear,core,13,16,1.37
linear,core,13,32,1.45
linear,core,13,64,1.40
linear,core,13,128,2.85
linear,core,13,256,2.89
linear,core,13,512,2.89
linear,core,13,1024,3.31
linear,core,13,2048,4.63
linear,core,14,1,1.39
linear,core,14,2,1.39
linear,core,14,4,1.40
linear,core,14,8,1.40
linear,core,14,16,1.40
linear,core,14,32,1.52
linear,core,14,64,1.64
linear,core,14,128,3.03
linear,core,14,256,3.08
linear,core,14,512,3.67
linear,core,14,1024,3.88
linear,core,14,2048,4.98
linear,core,15,1,1.45
linear,core,15,2,1.45
linear,core,15,4,1.44
linear,core,15,8,1.46
linear,core,15,16,1.61
linear,core,15,32,1.77
linear,core,15,64,1.57
linear,core,15,128,3.03
linear,core,15,256,3.12
linear,core,15,512,3.25
linear,core,15,1024,3.66
linear,core,15,2048,5.18
linear,core,16,1,1.69
linear,core,16,2,1.67
